timestamp,equipment_id,failure_code,maintenance_notes
2025-04-27 09:40,EQ567,F03,"Slight increase in motor vibration, may require realignment soon"
2025-04-20 08:59,EQ678,F01,"Slight increase in motor vibration, may require realignment soon"
2025-04-14 18:21,EQ678,F01,"Unexpected temperature spike recorded, coolant level low"
2025-05-01 09:10,EQ345,F03,Hydraulic pressure below threshold during operation
2025-04-24 20:04,EQ345,F05,"Sensor reading inconsistencies, suspect signal interference"
2025-04-30 06:05,EQ123,F05,Oil leakage detected near valve assembly
2025-05-06 08:43,EQ678,F04,Oil leakage detected near valve assembly
2025-05-03 03:26,EQ567,F05,Hydraulic pressure below threshold during operation
2025-05-11 08:29,EQ456,F06,"Abrupt halt due to electrical overload, circuit breaker tripped"
2025-05-12 14:38,EQ345,F02,"Sensor reading inconsistencies, suspect signal interference"
2025-04-23 21:54,EQ234,F05,"Small persistent oil leak, same spot as before"
2025-04-30 20:37,EQ567,F05,"Cooling fan malfunctioned, reported abnormal noise before failure"
2025-04-20 12:28,EQ456,F02,"Slight increase in motor vibration, may require realignment soon"
2025-04-19 11:36,EQ123,F03,"Unexpected temperature spike recorded, coolant level low"
2025-05-14 03:50,EQ456,F05,"Small persistent oil leak, same spot as before"
2025-04-13 17:17,EQ789,F05,"Small persistent oil leak, same spot as before"
2025-04-28 23:45,EQ234,F02,"Fan blade wear identified, minor imbalance detected"
2025-04-18 19:35,EQ234,F05,"Small persistent oil leak, same spot as before"
2025-05-02 02:49,EQ123,F02,"Slight increase in motor vibration, may require realignment soon"
2025-05-02 13:40,EQ345,F04,"Cooling fan malfunctioned, reported abnormal noise before failure"
2025-04-27 03:38,EQ567,F01,"Unexpected temperature spike recorded, coolant level low"
2025-05-11 16:33,EQ789,F04,"Fan blade wear identified, minor imbalance detected"
2025-05-08 22:42,EQ345,F03,"Small persistent oil leak, same spot as before"
2025-04-20 04:26,EQ789,F06,"Slight increase in motor vibration, may require realignment soon"
2025-04-24 06:41,EQ567,F01,"Unexpected temperature spike recorded, coolant level low"
2025-04-30 03:53,EQ345,F03,"Abrupt halt due to electrical overload, circuit breaker tripped"
2025-04-25 01:44,EQ234,F03,"Cooling fan malfunctioned, reported abnormal noise before failure"
2025-04-15 14:26,EQ678,F03,"Small persistent oil leak, same spot as before"
2025-04-23 22:27,EQ345,F05,"Small persistent oil leak, same spot as before"
2025-05-02 19:01,EQ789,F05,"Fan blade wear identified, minor imbalance detected"
2025-05-06 19:01,EQ123,F05,"Unexpected temperature spike recorded, coolant level low"
2025-04-14 00:53,EQ678,F02,"Abrupt halt due to electrical overload, circuit breaker tripped"
2025-04-17 08:15,EQ345,F05,"Sensor reading inconsistencies, suspect signal interference"
2025-04-16 02:07,EQ123,F04,Hydraulic pressure below threshold during operation
2025-04-16 00:27,EQ123,F03,Oil leakage detected near valve assembly
2025-05-08 06:52,EQ345,F06,"Cooling fan malfunctioned, reported abnormal noise before failure"
2025-05-01 23:47,EQ123,F04,"Sensor reading inconsistencies, suspect signal interference"
2025-04-17 14:48,EQ456,F06,"Unexpected temperature spike recorded, coolant level low"
2025-05-05 23:49,EQ234,F05,"Unexpected temperature spike recorded, coolant level low"
2025-05-06 19:39,EQ789,F04,"Slight increase in motor vibration, may require realignment soon"
2025-04-28 01:48,EQ567,F05,Hydraulic pressure below threshold during operation
2025-04-22 03:15,EQ789,F06,"Sensor reading inconsistencies, suspect signal interference"
2025-04-15 14:26,EQ567,F01,Oil leakage detected near valve assembly
2025-04-17 13:18,EQ345,F03,Hydraulic pressure below threshold during operation
2025-04-22 04:02,EQ567,F02,"Fan blade wear identified, minor imbalance detected"
2025-05-02 08:35,EQ345,F05,"Fan blade wear identified, minor imbalance detected"
